name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Miller Range 090886,55177,Valid,H6,12.3,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090887,55178,Valid,H6,5.2,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090888,55179,Valid,L5,2.3,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090889,55180,Valid,LL6,3.7,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090890,55181,Valid,CO3,5.5,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090891,55182,Valid,CO3,7.0,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090892,54415,Valid,LL5,6.3,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090893,54416,Valid,LL6,4.2,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090894,54417,Valid,LL6,1.8,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090895,54418,Valid,H5,5.3,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090896,54419,Valid,L5,0.7,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090897,55183,Valid,CO3,2.5,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090898,54420,Valid,L6,0.6,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090899,54421,Valid,H6,2.3,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090900,55184,Valid,H5,6.4,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090901,55185,Valid,H6,14.8,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090902,55186,Valid,L6,4.1,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090903,55187,Valid,L6,6.1,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090904,55188,Valid,LL5,0.5,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090905,55189,Valid,H5,3.7,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090906,55190,Valid,H6,1.3,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090907,55191,Valid,CO3,1.8,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090908,55192,Valid,LL6,0.5,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090909,55193,Valid,LL5,1.8,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090910,55194,Valid,LL6,10.4,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090911,55195,Valid,L6,9.7,Found,2009,0.0,0.0,"(0.0, 0.0)"
Miller Range 090912,55196,Valid,H6,13.8,Found,2009,0.0,0.0,"(0.0, 0.0)"
